key,Press any key to continue,Naciśnij dowolny klawisz aby kontynuować
PressAnyKey,Press any key to continue,Naciśnij dowolny klawisz aby kontynuować
ProjectPolitico,Project Politico,Projekt Politico
Showreel,Showreel,Showreel
Welcome,Welcome!,Witaj!
Continue,Continue,Kontynuuj
Info,Info,Info
Settings,Settings,Ustawienia
Save,Save,Zapisz
Cancel,Cancel,Anuluj
QuitQuestion,Quit?,Wyjść?
Yes,Yes,Tak
DoYouWantToCloseQuestion,Do you want to close application?,Czy chcesz zamknąć aplikację?
PlacingRooms,Placing Rooms,Umieszczanie Pokojów
PlacingRoomsText,"The fundamental mechanism of this project involves constructing rooms that deliver particular products and meet the requirements of the party leader. The addition of a new room replaces the existing interior and triggers a series of animations, such as repainting the walls and floors, which are managed by a custom shader. Additionally, the overlay system that offers a semi-transparent preview of the new room's interior is noteworthy.","Główny mechanizm niniejszego projektu polega na konstruowaniu pokojów, które dostarczają odpowiednich produktów i zaspokajają potrzeby lidera partii. Dodanie nowego pokoju skutkuje zastąpieniem poprzedniego wnętrza i uruchamia sekwencję animacji, takich jak przemalowywanie ścian i podłóg, które są obsługiwane przez niestandardowy shader. Dodatkowo, na uwagę zasługuje system przysłaniania, który wyświetla półprzezroczysty podgląd wnętrza nowego pokoju."
WorkerNavigation,Worker Navigation,Nawigacja Pracowników
WorkerNavigationText,"When the game is loaded, the navigation system is activated, establishing a series of interconnected navigation points. It employs the AStar algorithm to determine the most efficient route whenever a worker needs to move from one room to another. The positioning of workers within a room is managed through animations specific to that room.","System nawigacji jest aktywowany po wczytaniu się gry, co skutkuje utworzeniem siatki połączonych ze sobą punktów. Wykorzystuje on algorytm Astar aby wyznaczać najefektywniejsze ścieżki gdy dany pracownik musi przejść z jednego pokoju do drugiego. Pozycjonowanie pracowników w pokojach jest natomiast obsługiwane za pomocą animacji dedykowanych dla danego pokoju."
ProductionCycle,Production Cycle,Cykl Produkcyjny
ProductionCycleText,"The game's prototype enables the assignment of workers to various rooms. These workers produce either money or goods that must be transported to the nearest warehouse. Throughout the workday, workers accumulate experience at the cost of their energy, necessitating visits to relaxation rooms to restore this resource before returning to their tasks.","Prototyp gry umożliwia przypisywanie pracowników do różnych pokojów. Wspomniani pracownicy generują dochody oraz dobra, które muszą zostać dostarczone do najbliższego magazynu. Wykonując obowiązki, pracownicy gromadzą doświadczenie kosztem energii, którą muszą zregenerować w pokojach relaksacyjnych zanim powrócą do pracy. "
EquipmentSystem,Equipment System,System Wyposażenia
EquipmentSystemText,"The present condition of the project enables employees to utilize various types of equipment, thereby enhancing their abilities in executing specific tasks, such as augmenting their experience acquisition or increasing the volume of goods produced. The appearance of workers is updated in real-time, and each item can be depicted using distinct 3D models.","Na aktualnym etapie rozwoju projektu pracownicy mogą wykorzystywać różne rodzaje wyposażenia, które wpływają na ich zdolności do wykonywania określonych zadań, np. zwiększając ilość produkowanych dóbr lub gromadzonego doświadczenia. Wygląd pracowników jest aktualizowany w czasie rzeczywistym, a każdy przedmiot jest reprezentowany przez inny model 3D."
EditingWorkers,Editing Workers,Edycja Pracowników
EditingWorkersText,"In the future, every worker will possess distinct physical characteristics, including variations in body shape, hair, gender, and more. To facilitate the creation of these diverse avatars, a worker body system has been established, enabling the interchange of body parts in edit mode. This allows for the development and preservation of unique presets as prefabs.","W przyszłości każdy pracownik będzie posiadał inne cechy, jak na przykład: kształt ciała, fryzura, płeć itd. Aby usprawnić proces tworzenia różnorodnych awatarów, wprowadzono system umożliwiający modyfikację elementów składających się na model pracownika w edytorze. Pozwala to na generowanie unikalnych prefabrykatów. "
Display,Display,Obraz
WindowMode,Window Mode,Tryb Wyświetlania
Windowed,Windowed,W Oknie
Fullscreen,Fullscreen,Pełny Ekran
Resolution,Resolution,Rozdzielczość
